start	end	text
2643400	2648840	I mean, that is kind of like instance member is an important term also to remember. And instance
2648840	2656520	member means some functionality that is only available at the instance level, meaning that
2656520	2661240	it's not available at the person class level, but you have to make a copy of person in order to be
2661240	2670600	able to access that. All right? So that's the basic of classes. You can do a lot with classes,
2670600	2676760	as we will talk about soon. So I'm just going to leave that person class right there, and then
2677880	2685880	just kind of mark that as talked about in my notes as well. And let's now talk a little bit
2685880	2693720	about objects. Well, objects are actually quite easy to explain. An object is an instance of a
2693720	2701800	class. So you wouldn't like, when someone says, oh, here's an object of type string, it means
2701800	2709000	literally that there is a class called string, I've created an instance of it, and that is an
2709000	2717480	object. So the words instance and object are usually used interchangeably. But if you hear
2717480	2722520	someone say instantiate a class, then you would say, okay, what's the class name? Oh, it's person.
2722520	2729000	All right. Person. Now I created an instance. Okay? And in this case, you can see I'm just
2729000	2732520	creating an instance of person without actually doing anything with it. So that's kind of like
2732520	2742520	a useless object, all right? But if I put, I say foo is a person, then this foo now is an object
2742520	2746680	of type person. And actually, you can write its name here, and you'll see that it tells you that
2746680	2759480	this is a person, okay? So that in short is what objects are. And I can see in my notes that
2759480	2764120	objects are kind of like in the wrong place. I'm going to bring it to the right place. Sorry about
2764120	2776040	that. Okay? Now let's talk a little bit about constructors. And I can see constructors also
2776040	2780040	at the wrong place in my notes, so I'm going to bring those also to the right place. Okay?
2780840	2790840	Sorry about that. What a constructor is at its name, as its name indicates, is a special logic
2790840	2798920	in a class that constructs or initializes or builds that class's instance, all right? So
2799720	2803800	you may say that, okay, let's go to our function here, to our class here, person.
2804440	2810840	And let's say every person has a first name or a name, okay? So let's just define that. We say
2810840	2816440	final string name, all right? As you can see now, Dart is saying, okay, you said that every person
2816440	2823000	has a name, and it's a final, meaning that after the person has been instantiated or after that
2823000	2829000	person has been initialized or created an instance from, you cannot change that name because you said
2829000	2835400	final, all right? If you said string name is foo, that would be different because it means
2835400	2841240	every person instance that gets created has the default value foo for its name. That's a completely
2841240	2846680	different way of saying what the name of the person is. In this case, as you can see, we're
2846680	2853000	saying that every person instance, every person copy that we create has a name. Now Dart is saying,
2853000	2858520	okay, where is the name then? You didn't tell me how to create it. And that's where you would
2858520	2866200	want to use something called constructor, okay? Constructors are sometimes called as initializers.
2866200	2870680	Depending on the background of the programmer, they may call it constructor initializer
2871400	2875880	or maybe some other names that I don't know about. But if you hear that, a constructor,
2875880	2884040	then you will now know what I'm talking about soon actually. So now what you can do, at least
2884040	2890120	in Visual Studio Code, when you get this error is to just hover over it and then press command
2890120	2897000	on Mac or control on Windows or Linux and press dot. Now you will see you will get some suggestions
2897000	2902120	here. And the second suggestion, at least for me here, it says create constructor for final
2902120	2908200	fields, okay? And I can just press that. And what happens here now, you see it's that it creates
2908200	2915240	something that looks kind of like a function, but it doesn't have a name. Its name is implicitly
2915240	2921400	set to the name of the class, okay? So basically, it says I'm a special function with the same name
2921400	2929480	as the class, and I expect a value to be given to me, which I will then in turn assign to the name
2929480	2936760	property of myself. It's kind of like a strange way of doing things, but is quite clean as well,
2936760	2942280	okay? After you do that, so this is how you create a constructor. After you do that, then at the call
2942280	2947880	site where you're calling this person class to create an instance of it, it will complain saying
2947880	2954360	that, oh, I'm expecting an argument, but I didn't find any. And that's where you have to pass the
2954360	2961400	name. So let's say in this case is foo bar, okay? And then on the next line, you can just say print
2961400	2967880	foo name, all right? And press command S, and then you can see foo bar being printed to the screen.
2967880	2974760	So that is like the basic of a constructor. That's how you construct instances of your class,
2974760	2981400	all right? Now, you may be saying that, all right, I don't want, I mean, you can do many fancy things
2981400	2989000	with constructors. You could say, okay, its name, for instance, by default, must have a special
2989000	2992680	value. You could do that. There's lots of things you can do with constructors, which I'm not going
2992680	2998280	to go into the details of. But right now, just know that a constructor is this special kind of
2998280	3003560	function that has the same name as the name of the class, and then parentheses, and then you put your
3003560	3017960	values in here, all right? Okay, that was constructors. Now, let's talk a little bit about
3019560	3028840	methods, all right? And what methods are, I'm actually going to go here and say, we're going
3028840	3033960	to talk about methods. I know it's at the wrong place in my notes as well. Sorry about that.
3033960	3040280	A method of a class we've talked about already, to be honest with you, and a method of a class is
3040360	3049960	a function on the class, which is usually referred to as an instance method, meaning that the
3049960	3055080	function is available after you've instantiated that class, all right, as we're doing in line
3055080	3063720	number 14. Name is an instance variable. So, is a variable that is available at an instance level
3063720	3069800	is not an instance method. An instance method should be a function, all right? So, let's go
3069800	3075000	and create a function here that doesn't return any value denoted by the void return type, and we
3075000	3082760	say print name, all right? The functionality of this function is only just to print the name of
3082760	3088600	the class, all right? That's all it does. And in Dart, you're also, now that we're talking about
3088600	3095320	this, I'll just mention also that in Dart it's usually better not to prefix your instance
3095320	3106840	variables or instance functions inside the class itself using this keyword. This keyword in Dart,
3108440	3117800	the this this or that this keyword basically refers to the current instance of this class,
3117800	3124840	all right? So, you can either tell print name to print this dot name, or it's actually better
3124840	3129880	to remove this and refer to it as name. That's the recommended way of doing it, okay? So,
3129880	3137240	avoid the keyword this as much as you can unless you have to. And we'll come to those points
3137240	3143400	hopefully later in this course why you may have to do that, why you may have to use this.
3144920	3152120	All right. Now we have the print name instance method, all right? So, let's just use it. Instead
3152120	3158360	of this print function that we're doing here, let's just say foo dot print's name, all right?
3158360	3165800	Command S or Control S on Linux and Windows and Command S on Macintosh, and then you get the
3165800	3174680	Flutter foo bar printed here. Or you could just say print, I'm going to, I will now print the name
3174680	3180120	of this person in single quotes. We don't need double quotes, okay? Command S and you will see
3180120	3184920	that message being printed here, followed by the actual name of that instance. So,
3185480	3190440	if someone says method or instance message, you will then know what we're talking about.
3190440	3196280	It's a function created at the class level that does some stuff, all right? So, that's short and
3196280	3207000	sweet. Okay. Now that we've talked about that, let's talk a little bit about inheritance and
3207000	3211480	subclassing. I'm going to bring the caption here so you know what we're talking about.
3213000	3221320	Now, inheritance and subclassing are so, so important in Dart and in any other object-oriented
3221320	3226600	programming language that I don't think anybody should jump over it. Like, for instance, I know
3227320	3232120	developers working in various programming languages that are object-oriented, but they kind of steer
3232120	3238440	clear of the object-oriented aspects of that language. Maybe they don't need it and maybe
3238440	3243480	they just feel like it's unnecessary or they feel like, oh, it's just too complicated.
3243480	3248520	But in Dart, if you want to become a good Flutter developer or a good Dart developer, you need to
3248520	3260920	know about classes and inheritance. So, let's talk about inheritance. What inheritance in Dart is,
3260920	3270200	is that it allows you to define a class and then to add more functionality to that class
3271000	3281000	into a new class. So, let's, for instance, say we go into our test function here and remove that,
3281080	3290360	okay, that code, and also remove the person class. Now, let's create a class living thing,
3290360	3300920	all right, and then we say void, breathe, and then we say print. Living thing is breathing,
3300920	3307400	okay? So, we created a class living thing, and we're saying that anything that lives needs to
3307400	3312440	breathe. Now, this may be an assumption, but anyways, anything that lives and is above the
3314600	3321640	ground and is basically alive is breathing, okay? So, that's our function on the living thing. Now,
3322440	3329240	you may say, okay, any living thing may also have the ability to move, okay? Then we have
3329240	3336600	a function called move. I'm going to say print, I am moving, all right? So, now you may say, okay,
3336600	3344120	now I kind of want a class called cat, all right. Cat is also a living thing. One way to do that,
3344120	3351160	to go about creating a class, the cat class is to say class cat, and then you say, hmm,
3351160	3355720	I kind of need these functions, and you'll go and copy it, and then you paste them here,
3355720	3364920	all right? And then you say, okay, I'm good to go now. But one of the absolute paramount qualities
3364920	3373960	of a developer is that developers do not like to repeat themselves, and it is such an important
3373960	3378600	concept in programming that you need to avoid repeating yourself, that you need to just coin
3378600	3385000	that down now, get it straight so that you don't make this mistake as we're doing in this code
3385000	3390760	right now. So, the first thing you want to do as a developer is say, how can I grab this code?
3391480	3398520	And it's obvious that the cat is also a living thing. So, that's where you want to use the
3398520	3406360	extends keyword that allows you to inherit the functionality inside the living thing class
3406360	3413000	into your cat class. So, in this case, I'm saying cat class extends or read it in English as inherits
3413720	3420040	living thing, all right? So, you can see that the cat class in itself is empty right now,
3420040	3430520	but if you go to the test function and I say, final, fluffers is a cat, and then I can say
3430520	3438600	fluffers, you can see that now that the cat class has breathe and move functionalities,
3438600	3444200	or functions, actually. So, although cat itself didn't define these functions,
3444200	3450760	but they're available for the instance in this case called fluffers of type cat to use. So,
3450760	3458040	you can just say move, and then you can say fluffers, okay? So, if I run this code,
3458040	3462360	if I delete everything in the debug console and run this code, you can see that the cat
3462360	3467800	instance called fluffers is saying move, or I am moving, and it will also say living thing is
3467800	3478680	breathing, okay? Now, we could also talk about, now that we're talking about inheritance and
3478680	3485160	subclassing. Actually, maybe I shouldn't call it subclassing, but I also think it's important
3485160	3488680	for you to understand what subclassing is. Subclassing is literally the same thing as
3488680	3493160	inheritance. Subclassing is saying that you have a class and you're creating a subcomponent, like a
3493160	3500440	subthing of it, which may actually have, it's a little bit of a strange name in sub because
3500440	3506280	sub means kind of like a subset of things available in that class, but it actually is like a superset
3506280	3512600	because it will grab everything, like the cat at the moment has every functionality in living thing,
3512600	3519240	right? But it may not necessarily do that. It's kind of complicated to explain, but if you hear
3519240	3528600	subclassing or inheritance, know that that is what we mean. You use the extents keyword, usually,
3528600	3536600	okay? All right. Now, we've talked about inheritance and subclassing.
3538520	3546040	So, I'm gonna move a little bit my notes around, sorry about that, that I'm looking away from the
3546040	3554760	screen, and now we're gonna talk about abstract classes, all right? There's good documentation
3554760	3564520	about abstract classes, and what we're gonna do here is to just change this class living thing
3564520	3575480	at the moment to abstract, and you'll see that everything works as expected. Well, an abstract
3575480	3583720	class is very similar to a normal class, and there's good documentation about what an abstract
3583720	3588280	class actually is from a Dart perspective, and you can see it says use the abstract modifier to
3588280	3596200	define an abstract class that cannot be instantiated, all right? So, an abstract class is just like a
3596200	3599480	normal class that can't have instances. So,
